site_id,country,section,name,lat,lon,wetland_type,type_source,overlaps_protected_bold,designations,has_ramsar,has_flyway_network,pc1,rank,species_count,over_10pct,over_50pct,threatened,importance,page,applied_threshold,selected,reason
rf032,PRC,Shandong Province,Rongcheng Swan Nature Reserve,37.25,122.57,coastal,paper-section,True,,False,False,11.85,,1,True,False,,,22,10.0,True,PC1 11.85 ≥ 阈值 10.0
rf033,PRC,Jiangsu Province,Lianyungang coast,34.62,119.52,coastal,paper-section,False,,False,False,344.15,,30,True,True,"EN,VU",,22,10.0,True,PC1 344.15 ≥ 阈值 10.0
rf034,PRC,Jiangsu Province,Tiaozini (Dongtai coast,32.75,120.97,coastal,paper-section,True,FR,True,True,318.33,,25,True,True,"CR,EN,VU",,23,10.0,True,PC1 318.33 ≥ 阈值 10.0
rf035,PRC,Jiangsu Province,Yancheng National Nature Reserve,33.72,120.52,coastal,paper-section,True,,False,False,195.7,,29,True,True,"CR,EN,VU",,23,10.0,True,PC1 195.7 ≥ 阈值 10.0
rf036,PRC,Jiangsu Province,Ganyu coast,34.97,119.2,coastal,paper-section,True,,False,False,194.23,,21,True,True,"EN,VU",,24,10.0,True,PC1 194.23 ≥ 阈值 10.0
rf037,PRC,Jiangsu Province,Dongling coast,32.15,121.45,coastal,paper-section,True,,False,False,126.56,,20,True,False,"CR,EN,VU",,25,10.0,True,PC1 126.56 ≥ 阈值 10.0
rf038,PRC,Jiangsu Province,Rudong coast,32.52,121.17,coastal,paper-section,True,,False,False,84.02,,24,True,False,"CR,EN,VU",,26,10.0,True,PC1 84.02 ≥ 阈值 10.0
rf039,PRC,Jiangsu Province,"Dongsha shoals , PRC",33.0,121.23,coastal,paper-section,True,,False,False,41.72,,11,True,False,EN,,26,10.0,True,PC1 41.72 ≥ 阈值 10.0
rf040,PRC,Shanghai Municipality,Chongming Dongtan National Nature Reserve,31.48,122.0,coastal,paper-section,True,,False,False,43.36,,14,True,False,"CR,EN,VU",,27,10.0,True,PC1 43.36 ≥ 阈值 10.0
rf041,PRC,Shanghai Municipality,Nanhui coast (including Nanhui Wetlands Park,30.93,121.97,coastal,paper-section,True,,False,False,15.72,,6,False,False,,,27,10.0,True,PC1 15.72 ≥ 阈值 10.0
rf042,PRC,Zhejiang Province,Wenzhou Bay,27.92,120.88,coastal,paper-section,True,,False,False,94.14,,19,True,False,"CR,EN,VU",,27,10.0,True,PC1 94.14 ≥ 阈值 10.0
rf043,PRC,Zhejiang Province,Hangzhou Bay,30.33,121.0,coastal,paper-section,True,,False,False,43.8,,16,False,False,"CR,VU",,28,10.0,True,PC1 43.8 ≥ 阈值 10.0
rf044,PRC,Fujian Province,Min Jiang estuary,26.12,119.63,coastal,paper-section,True,,False,False,52.36,,15,True,False,"CR,EN,VU",,29,10.0,True,PC1 52.36 ≥ 阈值 10.0
rf045,PRC,Fujian Province,"Quanzhou Bay, including Jin Jiang estuary",24.85,118.67,coastal,paper-section,True,,False,False,24.77,,12,False,False,VU,,29,10.0,True,PC1 24.77 ≥ 阈值 10.0
rf046,PRC,Fujian Province,Xiamen coast,24.57,118.08,coastal,paper-section,True,,False,False,13.49,,6,False,False,"EN,VU",,29,10.0,True,PC1 13.49 ≥ 阈值 10.0
rf047,PRC,Fujian Province,Xinghua Bay,25.45,119.18,coastal,paper-section,False,,False,False,12.94,,5,False,False,"EN,VU",,30,10.0,True,PC1 12.94 ≥ 阈值 10.0
rf048,PRC,Guangdong Province,Inner Deep Bay and Shenzhen River catchment,22.5,114.02,coastal,paper-section,True,R,True,False,68.84,,24,True,False,"CR,EN",,30,10.0,True,PC1 68.84 ≥ 阈值 10.0
rf049,PRC,Guangdong Province,Haifeng wetlands,22.83,115.22,coastal,paper-section,True,R,True,False,12.78,,6,False,False,EN,,31,10.0,True,PC1 12.78 ≥ 阈值 10.0
rf050,PRC,Guangdong Province,Zhanjiang-Leizhou Peninsula coast,20.85,110.2,coastal,paper-section,True,,False,False,12.62,,7,False,False,"CR,EN,VU",,31,10.0,True,PC1 12.62 ≥ 阈值 10.0
rf051,PRC,Hainan Province,Dongzhaigang Nature Reserve,20.02,110.57,coastal,paper-section,True,,False,False,16.69,,4,False,False,,,31,10.0,True,PC1 16.69 ≥ 阈值 10.0
rf052,PRC,Hainan Province,Danzhou-Lingao coast,19.73,109.23,coastal,paper-section,False,,False,False,9.29,,1,False,False,,,31,10.0,True,按阈值应落选（PC1 9.29 < 10.0），但原文已列为优先站点
rf053,PRC,Guangxi Province,Beihai coast,21.45,109.32,coastal,paper-section,False,R,True,False,11.01,,5,False,False,CR,,32,10.0,True,PC1 11.01 ≥ 阈值 10.0
rf054,PRC,Guangxi Province,Fangcheng coast,21.57,108.15,coastal,paper-section,False,R,True,False,8.49,,3,False,False,CR,,32,10.0,True,按阈值应落选（PC1 8.49 < 10.0），但原文已列为优先站点
rf055,PRC,Heilongjiang Province,Zhalong National Nature Reserve,47.2,124.2,inland,paper-section,True,FR,True,True,,,0,False,False,,"Zhalong NNR comprises extensive reedbeds, pools and marshland that supports large numbers of breeding and migrating waterbirds, notably an important breeding population of Red-crowned Crane (VU). The wetlands there have experienced serious ecological problems and lost some of their value for migratory waterbirds, but measures are underway to reverse the trends of increasing ecological degradation (Su et al.2011).",32,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf056,PRC,Heilongjiang Province,Xingkai Lake National Nature Reserve,45.3,132.57,inland,paper-section,True,FR,True,True,,,0,False,False,,"Xingkai Lake (Lake Khanka) is a large transboundary freshwater lake on the border between the PRCand the Russian Federation The extensive floodplain wetlands around the lake provide stopover and breeding habitats for up to two million waterbirds, notably large congregations of Red-crowned Crane (VU) and Oriental Stork (EN). 32 At least 14 waterbird species have internationally important populations in the national nature reserve (RIS)",32,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf057,PRC,Heilongjiang Province,Sanjiang National Nature Reserve,47.9,134.5,inland,paper-section,True,,False,False,,,0,False,False,,"The Sanjiang Plain is an extensive delta alluvial plain where the Heilongjiang and Wusuli (Ussuri) Rivers converge. It supports 50,000-100,000 geese and ducks during the migration seasons, including up to 24,000 Swan Goose (VU), and also supports breeding populations of Red-crowned Crane (VU), White Crane (VU) and Oriental Stork (EN) (RIS).",33,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf058,PRC,Jilin Province,Momoge National Nature Reserve,46.0,123.75,inland,paper-section,True,FR,True,True,,,0,False,False,,"Momoge NNR comprises extensive marshlands, grasslands and agricultural land that support more than 100,000 waterbirds during the migration seasons, including Anatidae, cranes and Oriental Stork (EN). Most notably, approximately 95% of the global population of Siberian Crane (CR) stops over there on migration (Wang et al.2022).",33,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf059,PRC,Jilin Province,Xianghai National Nature Reserve,45.08,122.33,inland,paper-section,True,,False,False,,,0,False,False,,"Xianghai NNR is located at the western edge of the Songnen Plain, and the numerous lakes and extensive marshlands there are an important breeding and staging area for migratory waterbirds, including Anatidae, cranes and Oriental Stork (EN) (RIS). 33",33,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf060,PRC,Inner Mongolia,Dalai Lake National Nature Reserve,49.0,117.33,inland,inferred,True,,False,False,,,0,False,False,,"Dalai Hu is one of the five largest freshwater lakes (by area) in PRC and is surrounded by vast areas of marshland and arid steppes. Hundreds of thousands of waterbirds stage or breed there every year, including at least 11 species that occur in internationally important numbers (RIS, SIS).",34,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf061,PRC,Inner Mongolia,Wuliangsuhai National Nature Reserve,41.1,108.83,inland,inferred,True,,False,False,,,0,False,False,,"Wuliangsuhai is a large lake with extensive emergent vegetation, that is an important breeding and staging area for waterbirds in a vast arid region of northwest PRC . A waterbird survey in 2011 counted more than 165,900 individual birds there, including 19 species that exceeded 1% of flyway population thresholds, notably Swan Goose (VU), Far Eastern Curlew (EN) and Relict Gull (VU) (Zhang et al.2017).",34,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf062,PRC,Yellow River Basin,Hebei Hengshui Lake National Nature Reserve,37.6,115.6,inland,paper-section,True,F,False,True,,,0,False,False,,"Hengshui Lake NNR is an important breeding and stopover site for waterbirds in the arid North China Plain region. Nineteen waterbird species have occurred there in internationally important numbers, most notably around 15% of the global population of Baer’ Pochard (CR) and 30% of the flyway population of Bean Goose (Guo et al.2021). 34",34,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf063,PRC,Qinghai Province,"Zhaling Lake-Er’ling, Lake National Nature Reserve",34.93,97.45,inland,paper-section,True,,False,False,,,0,False,False,,"Zhaling Lake-Er’ling Lake NNR includes two high-altitude lakes that are important for migratory waterbirds, including at least five species that exceed 1% of flyway population thresholds there, notably Black-necked Crane (VU) (Sun et al.2020, Gong 2022).",35,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf064,PRC,Gansu Province,Gahai-Zecha National Nature Reserve,34.23,102.32,inland,paper-section,True,,False,False,,,0,False,False,,"Gahai-Zecha NNR is a high-altitude wetland in arid Gansu Province, where at least four migratory waterbird species exceed 1% of flyway population thresholds, notably a large breeding population of Common Redshank and Black-necked Crane (VU) (RIS).",35,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf065,PRC,Ningxia Province,Shahu Lake National Wetland Park,38.82,106.35,inland,paper-section,True,,False,False,,,0,False,False,,"Shahu Lake National Wetland Park is one of the few extensive wetlands in arid Ningxia Province. Based on the habitats present it is considered likely to support significant populations of migratory waterbirds, but no surveys are known to have been conducte investigate their status. 35",35,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf066,PRC,Ningxia Province,Sh aanxi Province Hongjianlao National Nature Reserve,39.08,109.92,inland,paper-section,True,,False,False,,,0,False,False,,"Hongjianlao NNR is a wetland in an arid region of Shaanxi Province that in recent years has supported more than half of the global population of Relict Gull (VU), which nests on islands in the lake. At least three other migratory waterbird species exceed 1% of flyway population thresholds there, but the wetlands are subject to shrinkage linked to water extraction (Liang & Yan 2017, Liu 2017).",36,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf067,PRC,Ningxia Province,Shan xi Province Yuncheng Yellow River Wetland Provincial Nature Reserve,35.03,110.98,inland,paper-section,True,,False,False,,,0,False,False,,"Yuncheng Yellow River Wetland Provincial NR is the largest wetland nature reserve in Shanxi Province. It supports an important population of Whooper Swan, with more than 10,000 individuals estimated to spend the non-breeding period, and several other migratory waterbird species have exceeded 1% of flyway population thresholds there. 36",36,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf068,PRC,Henan Province,Yellow River Wetland National Nature Reserve,34.87,112.5,inland,paper-section,True,R,True,False,,,0,False,False,,"Yellow River Wetland NNR is an extensive area of riverine floodplain wetlands that is a demonstration site for ADB’s Yellow River Project. It supports a large non-breedingpopulation of Whooper Swan, and several other migratory waterbird species have exceeded 1% of flyway population thresholds there.",37,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf069,PRC,Henan Province,Minquan Yellow River Old Riverway National Wetland Park,34.65,115.32,inland,paper-section,True,,False,False,,,0,False,False,,"Minquan Yellow River Old Riverway National Wetland Park comprises wetlands in the old channel of the Yellow River and is important for the conservation of migratory waterbirds (Li Changkan et al.2019). Waterbird surveys in 2017-2019 counted up to 60,000 individual birds there, including six species that exceeded 1% of flyway population thresholds, most notably around 12.5% of the global population of Baer’s Pochard (CR) (RIS).",37,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf070,PRC,Jiangxi Province,Poyang Lake National Nature Reserve,29.17,115.97,inland,paper-section,True,FR,True,True,825.49,,18,True,True,"CR,EN,VU",,37,10.0,True,PC1 825.49 ≥ 阈值 10.0
rf071,PRC,Jiangxi Province,Nanjishan Wetland Nature Reserve,29.0,116.28,inland,paper-section,True,,False,False,134.9,,14,True,True,"CR,EN,VU",,38,10.0,True,PC1 134.9 ≥ 阈值 10.0
rf072,PRC,Hunan Province,East Dongting Lake National Nature Reserve,29.33,112.92,inland,paper-section,True,R,True,False,134.53,,15,True,False,VU,,38,10.0,True,PC1 134.53 ≥ 阈值 10.0
rf073,PRC,Hunan Province,West Dongting Lake National Nature Reserve,28.82,112.2,inland,paper-section,True,,False,False,13.88,,4,False,False,,,39,10.0,True,PC1 13.88 ≥ 阈值 10.0
rf074,PRC,Anhui Province,Shengjin Lake Nature Reserve,30.38,117.07,inland,paper-section,True,F,False,True,99.59,,9,True,False,VU,,39,10.0,True,PC1 99.59 ≥ 阈值 10.0
rf075,PRC,Anhui Province,Anqing Yangtze Riverine Wetland Nature Reserve,30.53,116.9,inland,paper-section,True,,False,False,71.32,,11,True,False,"EN,VU",,39,10.0,True,PC1 71.32 ≥ 阈值 10.0
rf076,PRC,Hubei Province,Wanghu Lake National Nature Reserve,29.87,115.33,inland,paper-section,True,R,True,False,21.11,,6,False,False,,,40,10.0,True,PC1 21.11 ≥ 阈值 10.0
rf077,PRC,Hubei Province,Chenhu Lake Provincial Nature Reserve,30.3,113.82,inland,paper-section,True,,False,False,13.92,,5,False,False,,,40,10.0,True,PC1 13.92 ≥ 阈值 10.0
rf078,Indonesia,Indonesia,"Batu Bara coast, North Sumatra",3.38,99.43,coastal,inferred,False,FR,True,True,44.9,,13,False,False,EN,,40,1.0,True,PC1 44.9 ≥ 阈值 1.0
rf079,Indonesia,Indonesia,"Banyuasin Peninsula and Berbak, -Sembilang National Park South Sumatra",-1.89,104.61,coastal,inferred,True,,False,False,27.1,,5,False,False,EN,,41,1.0,True,PC1 27.1 ≥ 阈值 1.0
rf080,Indonesia,Indonesia,"Deli-Serdang , North Sumatra",3.73,98.79,coastal,inferred,True,FR,True,True,17.4,,7,False,False,EN,,41,1.0,True,PC1 17.4 ≥ 阈值 1.0
rf081,Indonesia,Indonesia,"Wasur National Park, SouthPapua",-8.6,140.8,coastal,inferred,True,,False,False,10.4,,1,True,False,,,41,1.0,True,PC1 10.4 ≥ 阈值 1.0
rf082,Indonesia,Indonesia,"Middle Mahakam Lakes, EastKalimantan",-0.36,116.2,inland,inferred,True,,False,False,7.7,,1,False,False,,,41,1.0,True,PC1 7.7 ≥ 阈值 1.0
rf083,Indonesia,Indonesia,"Sungai Progo Delta, -Trisik Beach, Yogyakarta",-7.98,110.2,coastal,inferred,True,,False,False,7.4,,2,False,False,,,41,1.0,True,PC1 7.4 ≥ 阈值 1.0
rf084,Indonesia,Indonesia,"Cemara Beach , Jambi",-1.42,104.46,coastal,inferred,True,,False,False,7.1,,5,False,False,EN,,41,1.0,True,PC1 7.1 ≥ 阈值 1.0
rf085,Indonesia,Indonesia,"East Aceh coast, Aceh",4.68,97.96,coastal,inferred,True,,False,False,5.3,,1,False,False,,,42,1.0,True,PC1 5.3 ≥ 阈值 1.0
rf086,Indonesia,Indonesia,"North Aceh coast, Aceh",5.22,97.45,coastal,inferred,True,,False,False,4.7,,2,False,False,,,42,1.0,True,PC1 4.7 ≥ 阈值 1.0
rf087,Indonesia,Indonesia,"Kupang Bay, East, Nusa Tenggara",-10.05,123.78,coastal,inferred,True,,False,False,3.5,,1,False,False,,,42,1.0,True,PC1 3.5 ≥ 阈值 1.0
rf088,Indonesia,Indonesia,"Sekopong Bay, Way Kambas National Park, Lampung",-4.9,105.88,coastal,inferred,True,,False,False,2.2,,1,False,False,,,42,1.0,True,PC1 2.2 ≥ 阈值 1.0
rf089,Indonesia,Indonesia,"Benoa Bay – Serangan Island, Bali",-8.74,115.22,coastal,inferred,True,,False,False,2.1,,1,False,False,,,42,1.0,True,PC1 2.1 ≥ 阈值 1.0
rf090,Indonesia,Indonesia,"Gresik and Surabaya coast (incl., Ujung Pangkah) , EastJava",-6.92,112.62,coastal,inferred,True,,False,False,1.9,,1,False,False,,,42,1.0,True,PC1 1.9 ≥ 阈值 1.0
rf091,Indonesia,Indonesia,"Asahan coast, North Sumatra",3.03,99.87,coastal,inferred,False,,False,False,1.4,,1,False,False,,,42,1.0,True,PC1 1.4 ≥ 阈值 1.0
rf092,Indonesia,Indonesia,"North Labuhan Batu coast, North Sumatra",2.77,99.99,coastal,inferred,False,,False,False,1.4,,1,False,False,,,42,1.0,True,PC1 1.4 ≥ 阈值 1.0
rf093,Indonesia,Indonesia,"Labuhan Batu coast, North Sumatra",2.7,100.16,coastal,inferred,False,,False,False,1.4,,1,False,False,,,42,1.0,True,PC1 1.4 ≥ 阈值 1.0
rf094,Indonesia,Indonesia,"North Seram coast (partly in Manusela National Park), Maluku",-2.95,129.12,coastal,inferred,True,,False,False,1.0,,1,False,False,CR,,42,1.0,True,PC1 1.0 ≥ 阈值 1.0
rf095,Lao PDR,Lao People’s Democratic Republic,Xe Pian NBCA (including Bueng Kiat Ngong wetlands) Champasak,14.56,106.06,inland,paper-section,True,,False,False,4.5,,2,False,False,CR,,43,1.0,True,PC1 4.5 ≥ 阈值 1.0
rf096,Lao PDR,Lao People’s Democratic Republic,"Mekong River from Luang Prabang to Vientiane, Vientiane, - Xayabury",18.32,101.52,inland,paper-section,False,,False,False,2.2,,1,False,False,,,43,1.0,True,PC1 2.2 ≥ 阈值 1.0
rf097,Lao PDR,Lao People’s Democratic Republic,Dong Kanthung Protected Forest (proposed NBCA) Champasak,14.4,105.43,inland,paper-section,True,,False,False,2.0,,1,False,False,CR,,43,1.0,True,PC1 2.0 ≥ 阈值 1.0
rf098,Malaysia,Malaysia,"North-Central Selangor Coast, Selangor",3.24,101.3,coastal,inferred,True,,False,False,14.1,,6,False,False,EN,,43,1.0,True,PC1 14.1 ≥ 阈值 1.0
rf099,Malaysia,Malaysia,"Sadong-Saribas Coast, Sarawak",1.68,111.05,coastal,inferred,False,,False,False,13.2,,4,False,False,VU,,43,1.0,True,PC1 13.2 ≥ 阈值 1.0
rf100,Malaysia,Malaysia,"Buntal Bay , Sarawak",1.69,110.39,coastal,inferred,True,F,False,True,9.2,,6,False,False,EN,,44,1.0,True,PC1 9.2 ≥ 阈值 1.0
rf101,Malaysia,Malaysia,"Teluk Air Tawar-Kuala Muda IBA, Pulau Pinang",5.53,100.37,coastal,inferred,False,,False,False,8.4,,3,False,False,EN,,44,1.0,True,PC1 8.4 ≥ 阈值 1.0
rf102,Malaysia,Malaysia,"Mersing-Endau Coast, Johor",2.64,103.71,coastal,inferred,False,,False,False,2.2,,1,False,False,,,44,1.0,True,PC1 2.2 ≥ 阈值 1.0
rf103,Malaysia,Malaysia,"Pulau Bruit, Sarawak",2.58,111.29,coastal,inferred,False,,False,False,1.8,,1,False,False,VU,,44,1.0,True,PC1 1.8 ≥ 阈值 1.0
rf104,Mongolia,Mongolia,"Khar-Us Lake (including Khovd River Tributary and Khar Lake), Uvs Aimag",47.75,92.17,inland,paper-section,True,FR,True,True,,1,27,False,True,VU,,44,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf105,Mongolia,Mongolia,"Khurkh Khuiten, Khentii Aimag",48.32,110.37,inland,paper-section,True,FR,True,True,,2,10,False,True,VU,,45,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf106,Mongolia,Mongolia,"Mongol Daguur IBA including Ulz River and Khukh Lake (include SPA) , Dornod, Aimag",49.72,115.25,inland,paper-section,True,,False,False,,3,16,True,False,VU,,45,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf107,Mongolia,Mongolia,"Uvs Lake , Uvs Aimag",50.2,92.28,inland,paper-section,True,FR,True,True,,4,6,False,False,,,46,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf108,Mongolia,Mongolia,"Tolbo Lake, Bayan, -Olgii Aimag",48.53,90.1,inland,paper-section,True,,False,False,,5,3,False,False,,,46,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf109,Mongolia,Mongolia,"Airag Lake , Uvs Aimag",48.9,93.43,inland,paper-section,True,FR,True,True,,6,8,False,False,,,46,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf110,Mongolia,Mongolia,"Tashgain Tavan Lakes, Dornod Aimag",47.37,118.45,inland,paper-section,False,FR,True,True,,7,8,False,False,VU,,46,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf111,Mongolia,Mongolia,"Terkhiin Tsagaan Lake, Arkhangai Aimag",48.17,99.75,inland,paper-section,True,,False,False,,8,6,False,False,,,47,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf112,Mongolia,Mongolia,"Ogii Lake , Arkhangai Aimag",47.77,102.7,inland,paper-section,True,FR,True,True,,9,9,False,False,VU,,47,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf113,Mongolia,Mongolia,"Buir Lake , Dornod Aimag, (transboundary to Hulun Lake, PRC",47.77,117.8,inland,paper-section,True,FR,True,True,,10,4,False,False,VU,,47,10.0,True,原文已列为优先站点（未公布 PC1 分值）
rf114,Mongolia,Mongolia,"Valley of lakes (including Boon Tsagaan, Orog Lake and Taatsiin Tsagaan, Bayan-Khongor Aimag",45.3,100.12,inland,paper-section,True,R,True,False,,11,6,True,False,,,47,10.0,True,原文已列为优先站点（未公布 PC1 分值）
